Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
MSTRG.3431	209.8360	0.8675	0.1830	51.9009	3.1443E-11	1.7718E-10
MSTRG.1107	6’199.7129	0.2278	0.1445	51.8978	3.1490E-11	1.7741E-10
MSTRG.10384	206.0388	1.9456	0.3322	51.8903	3.1607E-11	1.7802E-10
MSTRG.17958	5’860.9951	-0.3750	0.1354	51.8755	3.1838E-11	1.7928E-10
MSTRG.28178	691.4615	-1.1904	0.1716	51.8713	3.1904E-11	1.7961E-10
MSTRG.26216	295.7301	0.8885	0.1557	51.8656	3.1993E-11	1.8007E-10
MSTRG.1459	4’628.1380	0.9401	0.2331	51.8611	3.2063E-11	1.8042E-10
MSTRG.15808	832.2921	0.7825	0.1332	51.8590	3.2097E-11	1.8057E-10
MSTRG.20329	7’915.9870	-0.8904	0.1319	51.8313	3.2536E-11	1.8300E-10
ENSG00000150054.18	195.7260	-0.1182	0.3780	51.8308	3.2544E-11	1.8300E-10
MSTRG.10568	373.7289	0.2421	0.2447	51.8172	3.2761E-11	1.8418E-10
MSTRG.25934	3’815.0933	-0.6110	0.0855	51.8104	3.2871E-11	1.8475E-10
MSTRG.10502	1’226.4571	0.3003	0.1096	51.7928	3.3156E-11	1.8631E-10
MSTRG.15340	33’701.3229	0.3841	0.1202	51.7724	3.3490E-11	1.8814E-10
MSTRG.23998	2’901.7274	-0.2531	0.1296	51.7667	3.3584E-11	1.8863E-10
ENSG00000224334.1	43.2549	-1.4973	0.2988	51.7559	3.3762E-11	1.8958E-10
MSTRG.26314	347.8932	-0.3613	0.1442	51.6913	3.4849E-11	1.9564E-10
MSTRG.8247	1’306.2539	0.1480	0.1259	51.6411	3.5718E-11	2.0047E-10
MSTRG.26277	1’748.7267	-0.3843	0.1874	51.6139	3.6198E-11	2.0311E-10
MSTRG.27420	297.1357	1.4840	0.2459	51.6124	3.6225E-11	2.0322E-10
MSTRG.9057	1’415.8302	-1.0388	0.1683	51.6062	3.6336E-11	2.0379E-10
MSTRG.2358	53’967.9294	-0.5847	0.1281	51.6017	3.6415E-11	2.0419E-10
MSTRG.7980	2’044.8374	0.2375	0.1097	51.5860	3.6696E-11	2.0572E-10
MSTRG.4370	4’208.8495	-1.0360	0.1657	51.5790	3.6824E-11	2.0639E-10
MSTRG.24999	323.9932	1.3145	0.2478	51.5771	3.6858E-11	2.0653E-10
ENSG00000229108.2	68.2519	-0.4890	0.3412	51.5709	3.6970E-11	2.0711E-10
MSTRG.21347	6’339.6978	-0.7489	0.1254	51.5421	3.7496E-11	2.1000E-10
MSTRG.12238	377.8636	1.4891	0.2165	51.5346	3.7635E-11	2.1074E-10
MSTRG.4375	1’947.6991	-0.4956	0.1024	51.5165	3.7970E-11	2.1256E-10
MSTRG.2272	5’024.6306	-0.6713	0.1036	51.5106	3.8081E-11	2.1313E-10
MSTRG.20310	1’515.5814	-0.5943	0.1182	51.4864	3.8536E-11	2.1563E-10
MSTRG.14326	51.6474	3.0820	0.4490	51.4858	3.8547E-11	2.1564E-10
MSTRG.15756	15’423.3727	0.4150	0.0970	51.4825	3.8609E-11	2.1594E-10
MSTRG.3558	755.8208	0.5553	0.2092	51.4772	3.8710E-11	2.1645E-10
MSTRG.16541	306.4079	-1.2784	0.1864	51.4478	3.9272E-11	2.1953E-10
MSTRG.9942	1’433.1382	-0.8457	0.1194	51.4475	3.9279E-11	2.1953E-10
MSTRG.24788	5’215.4959	-0.7439	0.1179	51.4437	3.9351E-11	2.1988E-10
MSTRG.11741	3’038.2329	-0.1466	0.1637	51.4426	3.9373E-11	2.1995E-10
MSTRG.19761	1’003.2006	0.6057	0.1172	51.3952	4.0299E-11	2.2508E-10
ENSG00000243970.3	76.6546	-1.8539	0.3691	51.3894	4.0413E-11	2.2566E-10
MSTRG.5796	6’272.7261	-0.1646	0.1171	51.3834	4.0533E-11	2.2627E-10
ENSG00000203943.9	6.9499	-6.4320	1.3650	51.3790	4.0620E-11	2.2671E-10
MSTRG.2508	441.1722	0.5999	0.2174	51.3760	4.0680E-11	2.2699E-10
ENSG00000234338.1	35.9866	-0.4214	0.4685	51.3635	4.0931E-11	2.2834E-10
ENSG00000204740.11	46.4835	-1.8904	0.4444	51.3311	4.1587E-11	2.3194E-10
ENSG00000184378.3	19.0136	6.2370	1.2692	51.3293	4.1623E-11	2.3209E-10
MSTRG.8360	5’169.9325	0.0198	0.1103	51.2467	4.3344E-11	2.4163E-10
MSTRG.9987	754.2560	-0.5888	0.1679	51.2275	4.3755E-11	2.4386E-10
MSTRG.12956	309.4000	1.1211	0.1824	51.2146	4.4032E-11	2.4535E-10
MSTRG.10286	4’161.1184	0.8593	0.1193	51.2114	4.4103E-11	2.4569E-10
MSTRG.17073	2’639.1790	-0.4942	0.1105	51.1891	4.4587E-11	2.4833E-10
MSTRG.4697	7’640.9866	-0.2583	0.1236	51.1736	4.4926E-11	2.5016E-10
MSTRG.27832	43’946.9853	-0.2148	0.1190	51.1693	4.5021E-11	2.5063E-10
MSTRG.18884	9’973.7820	0.1757	0.1153	51.1411	4.5650E-11	2.5407E-10
MSTRG.23322	798.0632	0.9401	0.1453	51.1351	4.5785E-11	2.5476E-10
MSTRG.24866	934.1041	-0.0915	0.1129	51.1041	4.6486E-11	2.5861E-10
